Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,140.229996,140.699997,139.589996,140.509995,139.774033,2119400
2018-01-08,140.660004,143.240005,140.660004,142.009995,141.266174,1882100
2018-01-09,142.100006,142.250000,140.860001,141.050003,140.311203,1581600
2018-01-10,140.410004,140.600006,136.029999,137.610001,136.889221,3330500
2018-01-11,138.000000,138.009995,134.509995,134.970001,134.263046,3244000
2018-01-12,135.389999,135.500000,132.539993,133.000000,132.303375,3197300
2018-01-16,133.240005,138.000000,133.240005,135.630005,134.919601,3193900
2018-01-17,136.119995,137.160004,135.550003,136.639999,135.924301,1999700
2018-01-18,136.580002,136.669998,134.720001,135.190002,134.481903,3416400
2018-01-19,135.899994,137.679993,134.750000,137.619995,136.899170,3284700
2018-01-22,137.690002,139.240005,137.410004,139.240005,138.510696,1826700
2018-01-23,139.509995,141.440002,139.199997,141.199997,140.460419,2923400
2018-01-24,141.100006,142.679993,141.009995,141.759995,141.017487,3061500
2018-01-25,142.460007,143.059998,141.500000,142.960007,142.211212,2409500
2018-01-26,143.139999,145.139999,142.839996,145.130005,144.369843,2107900
2018-01-29,144.899994,145.990005,143.679993,144.330002,143.574020,3901700
2018-01-30,143.880005,145.660004,142.839996,145.149994,144.389725,2440000
2018-01-31,145.410004,148.839996,145.240005,147.699997,146.926376,3184700
2018-02-01,148.020004,149.360001,146.539993,147.059998,146.289719,2351000
2018-02-02,146.440002,146.740005,144.229996,145.220001,144.459366,2474600
2018-02-05,144.139999,146.289993,141.770004,142.039993,141.296021,3000900
2018-02-06,140.279999,142.169998,137.630005,140.169998,139.435806,3817000
2018-02-07,139.850006,142.330002,139.240005,140.000000,139.266708,2245900
2018-02-08,139.880005,140.929993,133.460007,133.570007,132.870392,3890100
2018-02-09,134.350006,136.929993,130.369995,136.050003,135.337402,3977300
2018-02-12,136.990005,137.229996,133.830002,136.229996,135.516449,3821000
2018-02-13,136.029999,136.919998,134.860001,136.309998,135.596024,3710300
2018-02-14,135.029999,135.899994,132.619995,135.479996,134.770370,4829300
2018-02-15,135.559998,136.929993,133.039993,136.220001,135.506500,3223300
2018-02-16,135.860001,141.050003,135.800003,140.020004,139.286606,3024700
2018-02-20,139.160004,140.699997,138.669998,139.240005,138.510696,2220500
2018-02-21,139.429993,140.250000,137.339996,137.440002,136.720123,2811400
2018-02-22,137.960007,140.479996,137.229996,138.979996,138.252045,3075900
2018-02-23,139.600006,141.869995,138.869995,141.869995,141.126907,1925000
2018-02-26,142.139999,142.949997,142.080002,142.740005,141.992355,2214100
2018-02-27,142.720001,142.990005,135.809998,140.699997,139.963043,4572500
2018-02-28,141.309998,141.619995,139.309998,139.330002,138.600220,4015600
2018-03-01,139.000000,139.619995,134.910004,135.369995,134.660950,3178000
2018-03-02,134.630005,134.750000,132.020004,134.000000,133.298126,3224600
2018-03-05,133.270004,137.240005,133.270004,136.809998,136.093414,2486100
2018-03-06,136.729996,140.429993,136.210007,138.880005,138.152573,3144500
2018-03-07,137.990005,140.839996,137.630005,140.000000,139.266708,2750000
2018-03-08,140.509995,142.869995,140.110001,142.740005,141.992355,3025500
2018-03-09,142.669998,144.320007,142.529999,143.580002,142.827957,2172300
2018-03-12,143.309998,145.699997,143.309998,145.080002,144.320099,2443000
2018-03-13,145.320007,150.119995,145.320007,146.250000,145.483963,2159100
2018-03-14,146.500000,147.320007,145.589996,146.460007,145.692871,2467400
2018-03-15,146.979996,147.429993,145.910004,146.649994,145.881866,2142800
2018-03-16,146.369995,147.199997,145.369995,146.550003,145.782394,4063100
2018-03-19,146.259995,146.619995,144.020004,145.119995,144.359879,2581700
2018-03-20,145.380005,147.679993,145.380005,146.309998,145.543655,2491100
2018-03-21,146.809998,146.809998,142.179993,142.330002,141.584503,2422300
2018-03-22,141.869995,145.190002,141.279999,143.009995,142.260941,2454100
2018-03-23,142.979996,144.839996,141.910004,142.270004,141.524826,2228600
2018-03-26,144.229996,145.509995,142.610001,145.210007,144.449417,2172600
2018-03-27,145.139999,147.149994,142.970001,144.460007,143.703354,3043200
2018-03-28,144.309998,146.210007,144.059998,144.300003,143.544189,2423100
2018-03-29,144.800003,145.820007,143.610001,145.339996,144.578735,2978300
2018-04-02,145.729996,146.990005,142.789993,143.830002,143.076645,2705400
2018-04-03,144.089996,144.869995,140.389999,141.419998,140.679260,3442400
2018-04-04,140.979996,143.550003,140.240005,143.050003,142.300735,1956500
2018-04-05,143.000000,145.610001,142.850006,144.080002,143.325333,2013400
2018-04-06,143.509995,144.399994,141.470001,142.160004,141.415390,1527400
2018-04-09,142.360001,145.009995,142.360001,143.190002,142.440002,1829700
2018-04-10,143.500000,144.179993,135.139999,137.399994,137.399994,6140200
2018-04-11,136.360001,141.699997,136.339996,139.919998,139.919998,2807600
2018-04-12,140.800003,140.800003,137.600006,138.380005,138.380005,2805000
2018-04-13,138.899994,140.419998,138.119995,138.899994,138.899994,1460400
2018-04-16,139.789993,140.039993,137.949997,138.520004,138.520004,2073200
2018-04-17,139.270004,142.070007,138.320007,141.020004,141.020004,2734500
2018-04-18,140.809998,141.149994,139.669998,139.809998,139.809998,1773400
2018-04-19,139.169998,139.610001,136.679993,137.419998,137.419998,2553000
2018-04-20,136.970001,138.899994,136.240005,136.619995,136.619995,2658600
